2022-08-19 08:15:18 |WARN  |main |NacosPropertySourceBuilder.java:87 |com.alibaba.cloud.nacos.client.NacosPropertySourceBuilder |Ignore the empty nacos configuration and get it based on dataId[mail-product] & group[DEFAULT_GROUP]
2022-08-19 08:15:18 |WARN  |main |NacosPropertySourceBuilder.java:87 |com.alibaba.cloud.nacos.client.NacosPropertySourceBuilder |Ignore the empty nacos configuration and get it based on dataId[mail-product.yaml] & group[DEFAULT_GROUP]
2022-08-19 08:15:19 |WARN  |main |Logger.java:44 |org.mybatis.spring.mapper.ClassPathMapperScanner |Skipping MapperFactoryBean with name 'attrAttrgroupRelationDao' and 'com.junbin.mail.mailproduct.dao.AttrAttrgroupRelationDao' mapperInterface. Bean already defined with the same name!
2022-08-19 08:15:19 |WARN  |main |Logger.java:44 |org.mybatis.spring.mapper.ClassPathMapperScanner |Skipping MapperFactoryBean with name 'attrDao' and 'com.junbin.mail.mailproduct.dao.AttrDao' mapperInterface. Bean already defined with the same name!
2022-08-19 08:15:19 |WARN  |main |Logger.java:44 |org.mybatis.spring.mapper.ClassPathMapperScanner |Skipping MapperFactoryBean with name 'attrGroupDao' and 'com.junbin.mail.mailproduct.dao.AttrGroupDao' mapperInterface. Bean already defined with the same name!
2022-08-19 08:15:19 |WARN  |main |Logger.java:44 |org.mybatis.spring.mapper.ClassPathMapperScanner |Skipping MapperFactoryBean with name 'brandDao' and 'com.junbin.mail.mailproduct.dao.BrandDao' mapperInterface. Bean already defined with the same name!
2022-08-19 08:15:19 |WARN  |main |Logger.java:44 |org.mybatis.spring.mapper.ClassPathMapperScanner |Skipping MapperFactoryBean with name 'categoryBrandRelationDao' and 'com.junbin.mail.mailproduct.dao.CategoryBrandRelationDao' mapperInterface. Bean already defined with the same name!
2022-08-19 08:15:19 |WARN  |main |Logger.java:44 |org.mybatis.spring.mapper.ClassPathMapperScanner |Skipping MapperFactoryBean with name 'categoryDao' and 'com.junbin.mail.mailproduct.dao.CategoryDao' mapperInterface. Bean already defined with the same name!
2022-08-19 08:15:19 |WARN  |main |Logger.java:44 |org.mybatis.spring.mapper.ClassPathMapperScanner |Skipping MapperFactoryBean with name 'commentReplayDao' and 'com.junbin.mail.mailproduct.dao.CommentReplayDao' mapperInterface. Bean already defined with the same name!
2022-08-19 08:15:19 |WARN  |main |Logger.java:44 |org.mybatis.spring.mapper.ClassPathMapperScanner |Skipping MapperFactoryBean with name 'productAttrValueDao' and 'com.junbin.mail.mailproduct.dao.ProductAttrValueDao' mapperInterface. Bean already defined with the same name!
2022-08-19 08:15:19 |WARN  |main |Logger.java:44 |org.mybatis.spring.mapper.ClassPathMapperScanner |Skipping MapperFactoryBean with name 'skuImagesDao' and 'com.junbin.mail.mailproduct.dao.SkuImagesDao' mapperInterface. Bean already defined with the same name!
2022-08-19 08:15:19 |WARN  |main |Logger.java:44 |org.mybatis.spring.mapper.ClassPathMapperScanner |Skipping MapperFactoryBean with name 'skuInfoDao' and 'com.junbin.mail.mailproduct.dao.SkuInfoDao' mapperInterface. Bean already defined with the same name!
2022-08-19 08:15:19 |WARN  |main |Logger.java:44 |org.mybatis.spring.mapper.ClassPathMapperScanner |Skipping MapperFactoryBean with name 'skuSaleAttrValueDao' and 'com.junbin.mail.mailproduct.dao.SkuSaleAttrValueDao' mapperInterface. Bean already defined with the same name!
2022-08-19 08:15:19 |WARN  |main |Logger.java:44 |org.mybatis.spring.mapper.ClassPathMapperScanner |Skipping MapperFactoryBean with name 'spuCommentDao' and 'com.junbin.mail.mailproduct.dao.SpuCommentDao' mapperInterface. Bean already defined with the same name!
2022-08-19 08:15:19 |WARN  |main |Logger.java:44 |org.mybatis.spring.mapper.ClassPathMapperScanner |Skipping MapperFactoryBean with name 'spuImagesDao' and 'com.junbin.mail.mailproduct.dao.SpuImagesDao' mapperInterface. Bean already defined with the same name!
2022-08-19 08:15:19 |WARN  |main |Logger.java:44 |org.mybatis.spring.mapper.ClassPathMapperScanner |Skipping MapperFactoryBean with name 'spuInfoDao' and 'com.junbin.mail.mailproduct.dao.SpuInfoDao' mapperInterface. Bean already defined with the same name!
2022-08-19 08:15:19 |WARN  |main |Logger.java:44 |org.mybatis.spring.mapper.ClassPathMapperScanner |Skipping MapperFactoryBean with name 'spuInfoDescDao' and 'com.junbin.mail.mailproduct.dao.SpuInfoDescDao' mapperInterface. Bean already defined with the same name!
2022-08-19 08:15:19 |WARN  |main |Logger.java:44 |org.mybatis.spring.mapper.ClassPathMapperScanner |Skipping MapperFactoryBean with name 'undoLogDao' and 'com.junbin.mail.mailproduct.dao.UndoLogDao' mapperInterface. Bean already defined with the same name!
2022-08-19 08:15:19 |WARN  |main |Logger.java:44 |org.mybatis.spring.mapper.ClassPathMapperScanner |No MyBatis mapper was found in '[com.junbin.mail.mailproduct.dao]' package. Please check your configuration.
2022-08-19 08:15:22 |WARN  |main |URLConfigurationSource.java:121 |com.netflix.config.sources.URLConfigurationSource |No URLs will be polled as dynamic configuration sources.
2022-08-19 08:15:22 |WARN  |main |URLConfigurationSource.java:121 |com.netflix.config.sources.URLConfigurationSource |No URLs will be polled as dynamic configuration sources.
2022-08-19 08:15:25 |WARN  |main |LoadBalancerCacheAutoConfiguration.java:82 |org.springframework.cloud.loadbalancer.config.LoadBalancerCacheAutoConfiguration$LoadBalancerCaffeineWarnLogger |Spring Cloud LoadBalancer is currently working with the default cache. While this cache implementation is useful for development and tests, it's recommended to use Caffeine cache in production.You can switch to using Caffeine cache, by adding it and org.springframework.cache.caffeine.CaffeineCacheManager to the classpath.
2022-08-19 08:21:44 |WARN  |main |NacosPropertySourceBuilder.java:87 |com.alibaba.cloud.nacos.client.NacosPropertySourceBuilder |Ignore the empty nacos configuration and get it based on dataId[mail-product] & group[DEFAULT_GROUP]
2022-08-19 08:21:44 |WARN  |main |NacosPropertySourceBuilder.java:87 |com.alibaba.cloud.nacos.client.NacosPropertySourceBuilder |Ignore the empty nacos configuration and get it based on dataId[mail-product.yaml] & group[DEFAULT_GROUP]
2022-08-19 08:21:45 |WARN  |main |Logger.java:44 |org.mybatis.spring.mapper.ClassPathMapperScanner |Skipping MapperFactoryBean with name 'attrAttrgroupRelationDao' and 'com.junbin.mail.mailproduct.dao.AttrAttrgroupRelationDao' mapperInterface. Bean already defined with the same name!
2022-08-19 08:21:45 |WARN  |main |Logger.java:44 |org.mybatis.spring.mapper.ClassPathMapperScanner |Skipping MapperFactoryBean with name 'attrDao' and 'com.junbin.mail.mailproduct.dao.AttrDao' mapperInterface. Bean already defined with the same name!
2022-08-19 08:21:45 |WARN  |main |Logger.java:44 |org.mybatis.spring.mapper.ClassPathMapperScanner |Skipping MapperFactoryBean with name 'attrGroupDao' and 'com.junbin.mail.mailproduct.dao.AttrGroupDao' mapperInterface. Bean already defined with the same name!
2022-08-19 08:21:45 |WARN  |main |Logger.java:44 |org.mybatis.spring.mapper.ClassPathMapperScanner |Skipping MapperFactoryBean with name 'brandDao' and 'com.junbin.mail.mailproduct.dao.BrandDao' mapperInterface. Bean already defined with the same name!
2022-08-19 08:21:45 |WARN  |main |Logger.java:44 |org.mybatis.spring.mapper.ClassPathMapperScanner |Skipping MapperFactoryBean with name 'categoryBrandRelationDao' and 'com.junbin.mail.mailproduct.dao.CategoryBrandRelationDao' mapperInterface. Bean already defined with the same name!
2022-08-19 08:21:45 |WARN  |main |Logger.java:44 |org.mybatis.spring.mapper.ClassPathMapperScanner |Skipping MapperFactoryBean with name 'categoryDao' and 'com.junbin.mail.mailproduct.dao.CategoryDao' mapperInterface. Bean already defined with the same name!
